WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
28,Paris,French Open,02/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Kuznetsova S.,Kerber A.,39,8,1442,5135,6,4,4,6,6,3,2,1,Completed,2.2,1.66,2.12,1.7,2.1,1.73,2.29,1.71,2.1,1.73,2.29,1.81,2.12,1.71
28,Paris,French Open,02/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Williams S.,Vinci R.,1,15,11620,2785,6,1,6,3,,,2,0,Completed,1.01,26,1.01,11.5,1.02,15,1.02,27.78,1.02,13,1.04,27.78,1.02,16.49
28,Paris,French Open,02/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Errani S.,Suarez Navarro C.,5,20,5835,1975,5,7,6,4,6,3,2,1,Completed,1.2,4.5,1.2,4.4,1.22,4.33,1.24,4.68,1.22,4,1.25,5,1.22,4.32
28,Paris,French Open,02/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Radwanska A.,Ivanovic A.,4,14,6125,2800,6,2,6,4,,,2,0,Completed,1.72,2.1,1.7,2.12,1.73,2.1,1.81,2.14,1.73,2.1,1.85,2.38,1.74,2.07
28,Paris,French Open,03/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Azarenka V.,Schiavone F.,3,50,9005,1166,6,3,6,0,,,2,0,Completed,1.11,6.5,1.16,5,1.14,5.5,1.15,6.54,1.15,5.5,1.18,6.7,1.15,5.55
28,Paris,French Open,03/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Kirilenko M.,Mattek-Sands B.,12,67,3036,902,7,5,6,4,,,2,0,Completed,1.57,2.37,1.55,2.4,1.57,2.38,1.63,2.46,1.62,2.38,1.67,2.62,1.58,2.36
28,Paris,French Open,03/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Sharapova M.,Stephens S.,2,17,10015,2530,6,4,6,3,,,2,0,Completed,1.07,9,1.07,8,1.07,8.5,1.09,9.6,1.08,8,1.11,9.8,1.08,7.89
28,Paris,French Open,03/06/13,Grand Slam,Outdoor,Clay,4th Round,3,Jankovic J.,Hampton J.,18,54,2500,1093,6,0,6,2,,,2,0,Completed,1.36,3.25,1.4,2.9,1.44,2.75,1.38,3.41,1.4,2.88,1.47,3.5,1.38,3.05
28,Paris,French Open,04/06/13,Grand Slam,Outdoor,Clay,Quarterfinals,3,Errani S.,Radwanska A.,5,4,5835,6125,6,4,7,6,,,2,0,Completed,2.37,1.57,2.4,1.55,2.38,1.57,2.56,1.59,2.5,1.57,2.58,1.68,2.38,1.58
28,Paris,French Open,04/06/13,Grand Slam,Outdoor,Clay,Quarterfinals,3,Williams S.,Kuznetsova S.,1,39,11620,1442,6,1,3,6,6,3,2,1,Completed,1.04,13,1.04,10,1.03,12,1.05,14.8,1.05,11,1.07,15,1.04,11.39
28,Paris,French Open,05/06/13,Grand Slam,Outdoor,Clay,Quarterfinals,3,Sharapova M.,Jankovic J.,2,18,10015,2500,0,6,6,4,6,3,2,1,Completed,1.16,5,1.18,4.75,1.14,5.5,1.2,5.45,1.17,5.5,1.21,5.7,1.18,4.95
28,Paris,French Open,05/06/13,Grand Slam,Outdoor,Clay,Quarterfinals,3,Azarenka V.,Kirilenko M.,3,12,9005,3036,7,6,6,2,,,2,0,Completed,1.14,5.5,1.16,5,1.12,6,1.15,6.8,1.17,5.5,1.18,7,1.14,5.64
28,Paris,French Open,06/06/13,Grand Slam,Outdoor,Clay,Semifinals,3,Sharapova M.,Azarenka V.,2,3,10015,9005,6,1,2,6,6,4,2,1,Completed,1.8,2,1.85,1.92,1.8,2,1.93,2.01,1.83,2,1.94,2.08,1.83,1.96
28,Paris,French Open,06/06/13,Grand Slam,Outdoor,Clay,Semifinals,3,Williams S.,Errani S.,1,5,11620,5835,6,0,6,1,,,2,0,Completed,1.06,10,1.06,8.5,1.06,9,1.07,11.75,1.07,9,1.09,11.75,1.06,9.33
28,Paris,French Open,08/06/13,Grand Slam,Outdoor,Clay,The Final,3,Williams S.,Sharapova M.,1,2,11620,10015,6,4,6,4,,,2,0,Completed,1.14,5.5,1.16,5,1.17,5,1.17,6.38,1.17,5.5,1.22,6.38,1.16,5.27
